customer_id,snapshot_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,marketing_consent,recency_days,frequency_180d,monetary_180d,return_rate_180d,avg_discount_pct_180d,avg_rating_180d,category_diversity_180d,ticket_count_90d,negative_ticket_rate_90d,avg_resolution_hours_90d,days_since_signup,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,churn_next_60d,split,churn_probability,predicted_churn
CUST00001,2025-09-30,Tier 1,18-24,Instagram,Silver,Makeup,Yes,107,1,362.73,0.0,0.23,3.0,1,0,0.0,0.0,524,1,4,0,0,0,2,0,20,1,train,0.7219974644926377,1
CUST00002,2025-09-30,Tier 2,25-34,Marketplace,Silver,Hair Care,Yes,40,1,581.0,0.0,0.23,4.0,1,1,0.0,1.0,121,8,31,4,2,3,0,0,0,0,train,0.10529076337070666,0
CUST00003,2025-09-30,Tier 1,25-34,Influencer,,Skin Care,Yes,171,1,649.98,0.0,0.47,2.0,1,0,0.0,0.0,206,1,3,0,0,0,0,0,26,1,train,0.9629793470618769,1
CUST00004,2025-09-30,Tier 3,25-34,Google Search,,Fragrance,No,131,1,1604.04,0.0,0.16,2.0,1,0,0.0,0.0,168,1,6,0,0,0,0,0,14,1,train,0.7087962023110226,1
CUST00005,2025-09-30,Tier 3,35-44,Organic,Gold,Hair Care,Yes,38,3,1781.9,0.0,0.48,1.0,2,0,0.0,0.0,405,18,95,4,1,1,3,1,9,0,train,0.0632440651307249,0
CUST00006,2025-09-30,Tier 2,35-44,Instagram,Silver,Baby Care,Yes,51,4,2989.58,0.25,0.38,4.5,3,2,1.0,17.6,365,2,8,1,0,1,0,0,1,0,validation,0.24205438313547606,1
CUST00007,2025-09-30,Tier 1,18-24,Organic,,Fragrance,Yes,3,1,719.33,0.0,0.18,5.0,1,0,0.0,0.0,68,11,61,3,2,2,10,3,12,0,train,0.03228262045885487,0
CUST00008,2025-09-30,Tier 2,18-24,Organic,Silver,Skin Care,Yes,47,3,2449.11,0.0,0.217,2.33,3,0,0.0,0.0,316,2,11,1,0,0,0,0,16,0,validation,0.19254274244699834,0
CUST00009,2025-09-30,Tier 1,25-34,Influencer,,Skin Care,No,31,1,376.85,0.0,0.49,4.0,1,0,0.0,0.0,41,11,57,3,3,2,0,0,6,0,train,0.3707185725044755,1
CUST00010,2025-09-30,Tier 1,18-24,Influencer,,Wellness,Yes,9,1,636.8,0.0,0.45,4.0,1,0,0.0,0.0,28,13,71,3,3,2,6,0,5,0,train,0.18800889676611374,0
CUST00011,2025-09-30,Tier 2,18-24,Referral,Gold,Fragrance,No,1,1,508.08,0.0,0.14,4.0,1,0,0.0,0.0,290,10,34,2,1,0,0,0,0,0,train,0.06812173823075394,0
CUST00012,2025-09-30,Tier 2,35-44,Instagram,,Skin Care,No,50,1,978.88,0.0,0.31,5.0,1,0,0.0,0.0,333,3,16,1,1,0,0,0,5,1,train,0.4500182827529922,1
CUST00013,2025-09-30,Tier 3,35-44,Google Search,,Fragrance,Yes,61,3,1754.44,0.0,0.23,5.0,2,0,0.0,0.0,267,4,22,1,0,0,2,0,21,0,train,0.2522143873521383,1
CUST00014,2025-09-30,Tier 2,18-24,Referral,,Fragrance,No,51,2,1382.39,0.0,0.145,5.0,1,0,0.0,0.0,510,11,57,3,2,2,0,0,17,0,train,0.0992800954240794,0
CUST00015,2025-09-30,Tier 2,25-34,Google Search,Gold,Hair Care,Yes,35,2,1523.14,0.0,0.285,5.0,2,0,0.0,0.0,319,6,23,2,0,1,0,0,11,0,train,0.15765609213249002,0
CUST00016,2025-09-30,Tier 2,18-24,Instagram,,Skin Care,Yes,215,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,413,2,8,1,0,0,4,1,32,1,test,0.9657220545934773,1
CUST00017,2025-09-30,Tier 3,35-44,Referral,,Hair Care,Yes,286,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,503,4,23,1,1,0,9,4,47,1,train,0.985507033946473,1
CUST00018,2025-09-30,Tier 1,35-44,Marketplace,Silver,Skin Care,Yes,111,1,329.21,0.0,0.36,4.0,1,0,0.0,0.0,160,3,8,1,0,0,4,2,37,1,test,0.8609436918810262,1
CUST00019,2025-09-30,Tier 1,18-24,Referral,Gold,Skin Care,Yes,9,2,1598.93,0.0,0.105,4.0,1,0,0.0,0.0,179,5,27,2,0,1,3,1,0,0,train,0.06305618718258962,0
CUST00020,2025-09-30,Tier 3,45+,Instagram,,Skin Care,No,368,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,543,0,0,0,0,0,0,0,60,1,train,0.9993922163683305,1
CUST00021,2025-09-30,Tier 2,25-34,Marketplace,Silver,Makeup,Yes,77,2,1059.3,0.0,0.435,4.0,2,1,1.0,20.1,173,3,14,1,1,0,2,0,18,1,train,0.7271756061530399,1
